City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
281,Khorinsk,RU,2021-03-31 21:56:46,52.1657,109.7726,22.6,67,100,1.16
282,Pevek,RU,2021-03-31 21:56:46,69.7008,170.3133,-7.64,87,100,0.69
283,Nhulunbuy,AU,2021-03-31 21:55:15,-12.2333,136.7667,77.0,88,75,6.91
284,Andenes,NO,2021-03-31 21:56:47,69.3143,16.1194,37.4,87,97,10.36
285,Weatherford,US,2021-03-31 21:55:01,32.7593,-97.7972,64.0,27,0,11.01
286,Aberdeen,GB,2021-03-31 21:54:35,57.1437,-2.0981,37.99,87,40,8.05
287,San Felipe,VE,2021-03-31 21:56:47,10.3399,-68.7425,73.31,92,100,6.24
288,Saskylakh,RU,2021-03-31 21:56:48,71.9167,114.0833,-32.22,99,100,6.31
289,Puerto Ayacucho,VE,2021-03-31 21:54:24,5.6639,-67.6236,83.53,71,84,5.5
290,Camacupa,AO,2021-03-31 21:56:48,-12.0167,17.4833,60.96,92,63,1.86
291,Pullman,US,2021-03-31 21:56:48,46.7313,-117.1796,55.99,35,1,9.22
